,Postal Code,Venue,Venue Latitude,Venue Longitude,Venue Category
4587,M4L,O Sushi,43.66668372330836,-79.3166142781831,Sushi Restaurant
4588,M4L,Black Lab Brewing,43.661839494907305,-79.3291369016646,Brewery
4589,M4L,Kew Gardens,43.66903821389327,-79.29853750338029,Park
4590,M4L,Hastings Snack Bar,43.66369665013437,-79.32899381239767,Snack Place
4591,M4L,Hogtown Smoke,43.669573021423744,-79.30215071863523,BBQ Joint
4592,M4L,Motimahal,43.672174809921415,-79.32253200796698,Indian Restaurant
4593,M4L,Ashbridge's Bay Park,43.6618219590429,-79.3104239962397,Park
4594,M4L,Descendant Detroit Style Pizza,43.66280217891642,-79.33238038071265,Pizza Place
4595,M4L,Greenwood Park,43.66902471426758,-79.32816286954568,Park
4596,M4L,Eulalie's Corner Store,43.67253532149764,-79.32189619176525,Bar
4597,M4L,Monarch Park,43.678719042549886,-79.32595669855687,Park
4598,M4L,Lahore Tikka House,43.67166839018913,-79.3247037631388,Pakistani Restaurant
4599,M4L,Hitch Bar,43.663249809571035,-79.33064915944564,Bar
4600,M4L,Budapest Restaurant,43.680946,-79.31011,Hungarian Restaurant
4601,M4L,Queen Margherita Pizza,43.664685391781596,-79.32416396716876,Pizza Place
4602,M4L,Kew-Balmy Beach,43.66737246215608,-79.2953124808988,Beach
4603,M4L,LCBO,43.66673150624233,-79.31496605090986,Liquor Store
4604,M4L,Athens Pastries Cafe,43.662825838983416,-79.30991000597972,Bakery
4605,M4L,Casa di Giorgio,43.66664527559903,-79.31520351125722,Italian Restaurant
4606,M4L,Beach Volleyball,43.662504774545496,-79.30970314558749,Beach
4607,M4L,The Wren,43.6824674097841,-79.32807925839526,American Restaurant
4608,M4L,Pinkerton Snack Bar,43.668900374804885,-79.3373089560871,Cocktail Bar
4609,M4L,The Ten Spot,43.6703404552084,-79.29936300317976,Nail Salon
4610,M4L,Rendez-Vous Restaurant Bar & Cafe,43.68257026831632,-79.32754382523993,Ethiopian Restaurant
4611,M4L,Pilot Coffee Roasters,43.673800531202524,-79.33004379272461,Café
4612,M4L,Completo,43.66255039511819,-79.33404945763401,Latin American Restaurant
4613,M4L,Bobbette & Belle,43.66221000383261,-79.33483045678932,Bakery
4614,M4L,Kibo Sushi House,43.662633,-79.332677,Sushi Restaurant
4615,M4L,Starbucks,43.668539,-79.307821,Coffee Shop
4616,M4L,Red Rocket Coffee,43.68234009057258,-79.3285298526357,Café
4617,M4L,East Lynn Park,43.684055,-79.315113,Playground
4618,M4L,Radical Road Brewing,43.662771755276616,-79.33251474073776,Brewery
4619,M4L,Royal Beef,43.685325126021965,-79.31498171235116,Butcher
4620,M4L,Leslieville Flea Market,43.66277913807175,-79.33025010837243,Flea Market
4621,M4L,Breakwall,43.66917375191053,-79.30446643981846,BBQ Joint
4622,M4L,Local 1794,43.68449709157893,-79.31881714249617,Gastropub
4623,M4L,Leslieville,43.66207024392778,-79.33785619823739,Neighborhood
4624,M4L,Gio Rana's Really Really Nice Restaurant,43.66336657355032,-79.33042524525726,Italian Restaurant
4625,M4L,Zane,43.66837210177904,-79.30800754008288,Bakery
4626,M4L,Little Triple A Bar (AAA),43.66369743650117,-79.3291366490884,BBQ Joint
4627,M4L,Kew Gardens Play Park,43.66926676521643,-79.29968375785205,Park
4628,M4L,LCBO,43.66999339203174,-79.30038317305332,Liquor Store
